course_id,user_id,satisfaction,travel_type,person,season,means_tp
e_e000345,e000345,4,1;3;11,4,0,1
e_e000346,e000346,4,1;2;7;9,4,0,2
e_e000347,e000347,4,1;2;3;4;12,5,0,1
e_e000350,e000350,3,1;4;12,7,0,2
e_e000352,e000352,3,1;3;7,1,0,1
e_e000353,e000353,4,1;3;4;6;12,5,0,2
e_e000355,e000355,5,2;3;4;10;12,7,0,2
e_e000357,e000357,5,3;4,5,0,1
e_e000360,e000360,4,1;7;9;11;12,0,0,2
e_e000362,e000362,4,1;2;4;12,0,0,2
e_e000364,e000364,4,3;4;6,5,0,1
e_e000365,e000365,3,1;2;9;10,4,0,1
e_e000366,e000366,4,2;3;4;11;12,7,0,2
e_e000369,e000369,4,3;4;6;7,5,1,2
e_e000371,e000371,5,1;3;4;7;9;10;11,5,0,2
e_e000373,e000373,5,1;3;4;7;9,2,0,2
e_e000375,e000375,4,1;2;3;6;7;10;12,7,1,2
e_e000376,e000376,3,1;6;9,4,0,2
e_e000377,e000377,4,1;3;4;7;9;10,7,0,2
e_e000379,e000379,4,3;4;10,7,0,2
e_e000381,e000381,3,1;2;9,7,1,2
e_e000384,e000384,5,1;2;6;7;9,0,1,2
e_e000385,e000385,4,2;6;9,1,0,2
e_e000387,e000387,4,2;12,7,1,2
e_e000395,e000395,5,1;4;7;12,7,0,2
e_e000396,e000396,4,2;7;12,0,0,2
e_e000397,e000397,4,1;2;3;7;9,4,0,2
e_e000400,e000400,3,1;7;9,4,0,2
e_e000401,e000401,4,4;7;9,0,0,2
e_e000403,e000403,5,1;3;7,4,0,1
e_e000406,e000406,4,2;6;9;10;11;12,2,0,2
e_e000407,e000407,4,1;7;9;12,4,0,2
e_e000409,e000409,4,1;4;7;12,7,0,2
e_e000412,e000412,4,1;3;4;6,5,1,1
e_e000418,e000418,4,1;2;7,7,1,2
e_e000422,e000422,5,1;3;4;6;7;10,5,1,2
e_e000425,e000425,4,1;2;11,7,0,2
e_e000429,e000429,5,1;3;4,7,1,2
e_e000430,e000430,4,1;2;4;7;9;12,5,0,2
e_e000432,e000432,4,1;2;4;7,0,0,1
e_e000433,e000433,5,1;2;12,1,0,2
e_e000435,e000435,5,3;9;10;12,4,0,2
e_e000437,e000437,4,1;7;9,1,1,2
e_e000438,e000438,5,1;3;4;6,7,0,2
e_e000443,e000443,5,1;2;9,4,1,1
e_e000445,e000445,4,1;2;7;9,0,0,2
e_e000447,e000447,3,1;2;3;4;6;7;9;10;11;12,7,0,2
e_e000448,e000448,4,1;2;3;6,7,0,2
e_e000450,e000450,4,1;4;12,5,0,1
e_e000451,e000451,3,2;4;6;7;11;12,4,0,2
e_e000453,e000453,4,1;3;6;10;12,7,1,1
e_e000454,e000454,5,1;2;6;7;9;10,7,0,2
e_e000460,e000460,5,1;2;3;4;7;11,4,0,1
e_e000463,e000463,4,1;2;7;9,1,1,2
e_e000466,e000466,4,2;7;10;12,7,0,2
e_e000469,e000469,4,1;2;4;7;9;10,4,0,2
e_e000472,e000472,3,1;4;7,5,1,1
e_e000473,e000473,5,1;2;4,7,0,1
e_e000474,e000474,5,2;4;7;11,5,0,2
e_e000477,e000477,4,1;2;4;7;9;11,1,0,2
e_e000479,e000479,5,1;10,4,0,2
e_e000480,e000480,4,1;2,4,0,2
e_e000481,e000481,4,1;3;4;12,5,0,1
e_e000482,e000482,4,1;4;7,1,0,1
e_e000483,e000483,4,1;2;7;12,2,0,2
e_e000486,e000486,5,1;2;3;4;12,5,0,1
e_e000490,e000490,4,1;2;3,5,1,1
e_e000491,e000491,4,1;2;7;9,4,0,2
e_e000492,e000492,4,1;4;7,4,0,2
e_e000496,e000496,5,1;4;7;12,1,0,2
e_e000500,e000500,4,1;2;7;9,7,1,2
e_e000504,e000504,4,2;7,5,0,1
e_e000505,e000505,3,1;6,5,0,2
e_e000506,e000506,4,1;2;6,5,1,2
e_e000507,e000507,4,1;4;6,4,0,2
e_e000509,e000509,4,3;4;6;7;11,1,0,1
e_e000510,e000510,5,1;6;7,1,0,1
e_e000514,e000514,5,3;10;12,2,1,2
e_e000515,e000515,3,1;3;4;6;9;10,4,1,2
e_e000521,e000521,5,1;4;9;12,5,0,2
e_e000523,e000523,3,1;3;10;11;12,7,1,2
e_e000524,e000524,5,1;10;12,1,0,2
e_e000525,e000525,4,1;7;9,4,0,2
e_e000526,e000526,4,1;2;3;4,5,0,1
e_e000531,e000531,3,1;9;12,1,0,2
e_e000533,e000533,4,1;2;3;7,4,1,2
e_e000535,e000535,5,1;4;9,1,0,1
e_e000536,e000536,5,1;2;4;7;10;11;12,5,0,2
e_e000540,e000540,4,1;7;12,4,1,2
e_e000541,e000541,4,1;3;6;10,4,0,2
e_e000544,e000544,4,1;4;10;11,1,0,1
e_e000546,e000546,5,1;3;4;6;7;9;12,5,0,1
e_e000547,e000547,5,1;2;9;10;12,7,1,2
e_e000548,e000548,4,2;10,7,0,2
e_e000550,e000550,5,1;2;4;6;7,5,0,1
e_e000552,e000552,4,1;2;3;6,0,0,2
e_e000556,e000556,4,1;3;7;9,6,1,2
e_e000557,e000557,4,1;2;3;6;12,4,0,2
e_e000559,e000559,4,1;2;7;9,4,0,1
e_e000560,e000560,5,1;2;11,0,0,2
e_e000561,e000561,4,1;3;4;6;7,5,0,2
e_e000563,e000563,4,1;4,0,0,1
e_e000564,e000564,5,2;4;7;12,5,0,2
e_e000566,e000566,4,1;3;4,5,0,1
e_e000567,e000567,5,1;2;3;6;10,7,0,2
e_e000569,e000569,3,1;10;12,7,1,2
e_e000571,e000571,4,1;7;9,5,0,1
e_e000574,e000574,5,6;7;9,1,1,2
e_e000579,e000579,5,1;2;6;7;9,1,0,2
e_e000580,e000580,4,1;3;4;6;10,5,1,1
e_e000584,e000584,3,1;4;7,0,0,1
e_e000588,e000588,4,1;2;3;12,1,0,2
e_e000590,e000590,5,1;2;4;6;7;12,0,0,2
e_e000591,e000591,5,1;3;4,0,0,2
e_e000594,e000594,5,2;4;11,1,0,2
e_e000595,e000595,4,1;3;4;7;11;12,1,0,1
e_e000597,e000597,5,1;2;3;9;10;12,7,0,2
e_e000599,e000599,4,1;3;6;7;12,7,1,2
e_e000601,e000601,5,1;2;11,5,0,2
e_e000602,e000602,5,1;2;3;4;9;12,5,0,1
e_e000603,e000603,5,4;6;12,7,0,1
e_e000604,e000604,5,2;3;4;10;12,5,0,1
e_e000605,e000605,5,1;3;4;9;12,5,1,1
e_e000607,e000607,3,1;3;7;12,6,0,2
e_e000608,e000608,4,1;4;6;10;11,5,0,1
e_e000609,e000609,5,1;4;12,7,0,2
e_e000612,e000612,4,1;2;7;9;12,7,0,2
e_e000615,e000615,5,1;3;11,1,1,1
e_e000618,e000618,4,1;3;6;7,1,0,2
e_e000620,e000620,4,1;4;7;9,6,0,2
e_e000621,e000621,4,4;6;7,5,0,2
e_e000622,e000622,4,1;2;7;9,1,0,2
e_e000623,e000623,3,2;7;10;12,4,0,2
e_e000625,e000625,4,1;4;6,6,0,2
e_e000627,e000627,5,1;3;4;7;11,5,0,1
e_e000628,e000628,5,1;2;4;7;9;11;12,4,0,2
e_e000632,e000632,4,1;4;6,5,1,1
e_e000637,e000637,3,1;4;12,1,0,1
e_e000639,e000639,4,2;7,5,1,1
e_e000640,e000640,3,2;6;11,2,0,2
e_e000641,e000641,4,1;10;11;12,7,0,2
e_e000644,e000644,4,2;4;10;11,7,0,2
e_e000645,e000645,5,1;2;9,1,0,2
e_e000646,e000646,4,1;2;4;9;12,5,0,2
e_e000647,e000647,5,1;2;4;10,1,0,2
e_e000648,e000648,5,2;7,7,0,2
e_e000650,e000650,5,1;2;3;4;6;7,5,1,1
e_e000651,e000651,4,2;7;9,7,0,2
e_e000654,e000654,5,2;7;12,1,0,2
e_e000655,e000655,4,1;2;7;9;12,5,0,1
e_e000662,e000662,4,1;3;4;7;9,5,0,1
e_e000664,e000664,4,1;4;7;9;10;12,7,1,2
e_e000666,e000666,5,1;2;4;7;9,1,0,1
e_e000668,e000668,5,1;4;12,2,0,2
e_e000669,e000669,4,2;3;10,7,0,2
e_e000672,e000672,4,2;9,4,0,1
e_e000673,e000673,5,1;3;4;7;12,5,0,1
e_e000680,e000680,4,1;2;3;4;7,7,1,1
e_e000682,e000682,5,1;2;3;4;6;12,0,0,1
e_e000686,e000686,4,1;7;9;12,1,1,2
e_e000689,e000689,5,1;2;3;4,1,0,1
e_e000691,e000691,3,1;3,0,0,2
e_e000693,e000693,5,1;7;9;11;12,7,0,2
e_e000695,e000695,3,1;3;9,1,0,2
e_e000696,e000696,4,10;11;12,7,0,2
e_e000697,e000697,1,2;7,5,1,2
e_e000699,e000699,4,1;2;4;7;9;12,1,1,1
e_e000700,e000700,5,1;2;4;6;7;12,5,1,1
e_e000704,e000704,5,1;3;9,5,1,2
e_e000705,e000705,4,2;3;4;9;11,5,0,1
e_e000706,e000706,3,1;7;12,4,0,1
e_e000707,e000707,4,2;3;7;12,7,1,2
e_e000709,e000709,4,1;7;10;12,4,0,2
e_e000710,e000710,3,1;2;9,1,0,2
e_e000715,e000715,4,1;2;3;4;6;7;9;10;11;12,1,0,2
e_e000717,e000717,4,1;11;12,6,0,1
e_e000718,e000718,5,1;3;6;9,5,0,1
e_e000733,e000733,3,1;2;9;10,7,0,2
e_e000734,e000734,4,2;4;6;7,5,0,2
e_e000736,e000736,5,1;4;7;10;12,7,0,2
e_e000737,e000737,4,2;4;7;12,5,0,2
e_e000738,e000738,5,1;4;6;7,1,0,1
e_e000743,e000743,3,1;4,1,0,2
e_e000745,e000745,4,3;4;7;9;10;12,4,0,2
e_e000746,e000746,3,2;3;12,1,0,1
e_e000747,e000747,5,1;2;3;7;9;10;11,4,0,2
e_e000748,e000748,3,1;4;10,0,0,1
e_e000751,e000751,5,1;2;3;6;7;12,7,0,2
e_e000752,e000752,4,1;3;4;6;7,5,0,2
e_e000760,e000760,5,1;2;4,7,0,2
e_e000761,e000761,4,2;3;4;7;12,4,1,2
e_e000762,e000762,4,1;2;4;7,5,0,2
e_e000765,e000765,5,1;2;3;4;6;7;9;10;11;12,7,0,2
e_e000767,e000767,4,1;2;4;9,5,0,1
e_e000768,e000768,3,1;7,5,1,2
e_e000771,e000771,5,1;7;9,4,1,2
e_e000774,e000774,4,1;7;11,7,0,2
e_e000782,e000782,3,1;3;4,4,0,1
e_e000785,e000785,5,7;12,6,0,2
e_e000787,e000787,5,1;9,4,0,2
e_e000789,e000789,5,4;7,7,0,2
e_e000791,e000791,5,1;3;4;6;12,1,0,1
e_e000793,e000793,5,1;4;7;11,7,0,1
e_e000794,e000794,4,1;3;4;6;12,5,0,1
e_e000801,e000801,5,1;2;3;4;7;12,5,0,1
e_e000802,e000802,5,1;4;12,5,0,2
e_e000803,e000803,5,3;10;12,7,0,2
e_e000804,e000804,5,1;2;3;4;9,0,0,2
e_e000805,e000805,4,1;3;10;12,4,0,2
e_e000807,e000807,4,1;3;4;11,4,0,1
e_e000810,e000810,5,1;2;3;4,5,0,1
e_e000811,e000811,5,1;4;7;11;12,7,0,2
e_e000812,e000812,5,1;3;10;12,7,0,2
e_e000817,e000817,5,1;2,7,0,2
e_e000818,e000818,4,1;7;9,1,0,2
e_e000823,e000823,4,1;2;6;7;9,5,0,1
e_e000826,e000826,5,1;2;3;6;7,4,0,2
e_e000828,e000828,4,1;3;4;6;11,0,0,2
e_e000830,e000830,5,1;2;3;4;12,7,1,2
e_e000831,e000831,3,1;2;3;4;6;10;11,7,0,2
e_e000838,e000838,5,2;4;6;9;12,7,0,2
e_e000840,e000840,5,1;2;4;12,7,0,2
e_e000841,e000841,4,1;3;6;7,6,0,1
e_e000844,e000844,4,1;4;7;12,7,0,1
e_e000847,e000847,5,1;6,4,0,2
e_e000849,e000849,3,1;3;4;12,1,0,1
e_e000850,e000850,5,1;3;6;7;10,5,1,1
e_e000852,e000852,4,1;4,1,0,2
e_e000854,e000854,4,1;2;4;6;7;11,7,0,2
e_e000856,e000856,4,1;2;3;4;6;7;9;10,0,0,1
e_e000859,e000859,5,1;3;4;6,5,1,1
e_e000861,e000861,5,1;2;3;6;7,1,1,1
e_e000863,e000863,4,1;4;7,0,0,2
e_e000865,e000865,4,1;2;7;9,5,0,1
e_e000866,e000866,4,1;3;4;6;7,1,0,1
e_e000867,e000867,3,1;4;7;9,4,0,2
e_e000872,e000872,5,2;10,4,1,2
e_e000875,e000875,5,1;3;4,5,1,1
e_e000877,e000877,3,2;7;9;12,4,0,2
e_e000882,e000882,3,1;7,5,0,1
e_e000883,e000883,5,4;7;9;11,5,1,1
e_e000886,e000886,5,1;2;4;12,5,1,2
e_e000889,e000889,3,1;6,1,1,2
e_e000899,e000899,4,1;2;3;6;9,6,0,2
e_e000902,e000902,4,1;2;7,1,0,1
e_e000903,e000903,5,1;3;4;7;9,1,1,2
e_e000905,e000905,4,1;2;3;4;7;9,5,0,2
e_e000906,e000906,5,1;2;4;7,5,1,2
e_e000907,e000907,4,1;4;7;9;10,5,0,1
e_e000910,e000910,3,2;7;9,5,0,1
e_e000914,e000914,3,1;4;11,5,1,1
e_e000917,e000917,4,1;2;3;7,7,0,2
e_e000919,e000919,2,1;2;7;9,4,0,2
e_e000930,e000930,4,1;6;7,1,0,1
e_e000932,e000932,4,1;7;12,6,1,1
e_e000935,e000935,5,2;3;6;10,2,0,2
e_e000936,e000936,5,1;2;4;7;10;11;12,4,1,2
e_e000938,e000938,5,1;2;4;10;11;12,4,0,2
e_e000942,e000942,4,1;2;11,1,1,2
e_e000946,e000946,4,1;2;4;6;7;12,5,0,1
e_e000947,e000947,4,1;7;12,0,1,2
e_e000949,e000949,4,1;3;4;10;12,7,0,2
e_e000950,e000950,4,2;7;10,2,1,2
e_e000951,e000951,4,1;2;3;6,5,1,1
e_e000955,e000955,5,1;3;7;9,4,0,2
e_e000956,e000956,3,1;2;3;7,5,0,1
e_e000959,e000959,4,1;2;4;6;7,7,1,2
e_e000961,e000961,4,1;2;4;7;9;12,4,0,2
e_e000962,e000962,4,1;2;4;9,7,1,2
e_e000964,e000964,5,1;2,5,0,2
e_e000966,e000966,4,1;4,6,1,2
e_e000967,e000967,5,1;2;3;4;6;7,6,0,2
e_e000969,e000969,5,3;4;6;9,5,0,2
e_e000973,e000973,5,2;11;12,4,1,2
e_e000976,e000976,4,3;4;9;10;11;12,5,0,1
e_e000983,e000983,5,1;3;12,5,1,1
e_e000984,e000984,4,1;4;9,0,1,2
e_e000986,e000986,4,1;4;7;9;12,5,0,1
e_e000987,e000987,4,1;4;9;10,1,0,2
e_e000992,e000992,5,3;4;10,7,0,2
e_e000993,e000993,5,1;2;3;4,1,0,1
e_e000994,e000994,3,1;2;12,6,1,1
e_e000995,e000995,5,1;3;4;6;10;12,7,0,1
e_e000996,e000996,5,1;2;3;4;6;12,5,1,2
e_e000997,e000997,5,1;2;4,7,0,2
e_e000998,e000998,4,1;2;4;7;9;12,7,0,2
e_e000999,e000999,4,1;2;4;7,2,0,2
e_e001001,e001001,5,1;2;4;6;7;9;10;11;12,1,1,2
e_e001007,e001007,4,1;3;4;6;9;10;12,7,1,2
e_e001009,e001009,5,1;3;4;7,0,0,1
e_e001012,e001012,5,1;4;11,1,0,1
e_e001013,e001013,4,1;7;9,5,0,2
e_e001014,e001014,5,1;2;7,1,0,2
e_e001019,e001019,4,1;2;3;4;6;9;12,5,0,2
e_e001022,e001022,4,1;4;12,0,1,2
e_e001023,e001023,4,1;4;12,4,0,2
e_e001024,e001024,4,1;3;4;7;12,1,0,2
e_e001025,e001025,4,1;2;9,0,1,2
e_e001026,e001026,4,1;7;9;11;12,0,1,2
e_e001029,e001029,3,1;3;4;12,4,0,1
e_e001030,e001030,5,4;7,4,0,2
e_e001031,e001031,4,1;2,1,1,2
e_e001032,e001032,4,1;2;3;4;6;7,5,0,1
e_e001033,e001033,5,1;2;6;7;9,5,0,2
e_e001040,e001040,4,1;3;4;12,1,1,2
e_e001041,e001041,5,2;7;9;12,7,1,2
e_e001045,e001045,5,1;2;3;4;6;7;10,5,1,1
e_e001049,e001049,5,1;6;7,0,0,2
e_e001052,e001052,5,1;9,5,0,1
e_e001057,e001057,5,1;4,7,0,1
e_e001059,e001059,4,1;4;7;12,0,0,2
e_e001060,e001060,5,1;2;4;7;10;12,7,0,2
e_e001061,e001061,4,1;4,5,0,1
e_e001062,e001062,5,1;2;7,4,0,2
e_e001063,e001063,4,1;4;9,0,0,1
e_e001068,e001068,5,1;2;3;7,4,0,1
e_e001069,e001069,4,1;9;11,1,1,2
e_e001070,e001070,4,1;3;12,1,1,2
e_e001071,e001071,4,1;4;9,5,0,1
e_e001078,e001078,4,1;2;3;4;6;10,7,1,2
e_e001079,e001079,4,1;4,1,0,2
e_e001081,e001081,4,1;6;7,0,0,2
e_e001084,e001084,4,3;6;7,2,1,2
e_e001085,e001085,4,1;3;4,1,0,1
e_e001093,e001093,5,1;2;6;11,1,1,1
e_e001097,e001097,4,1;3;6,7,0,1
e_e001098,e001098,4,1;9;11,1,0,2
e_e001103,e001103,4,4;7,4,0,1
e_e001104,e001104,4,1;3;4,1,0,2
e_e001108,e001108,4,3;6;7;11,5,0,1
e_e001110,e001110,4,2;3;4;9;12,6,0,2
e_e001112,e001112,4,1;2;3;7,7,0,2
e_e001113,e001113,4,1;2;3;4;9,5,1,1
e_e001114,e001114,4,1;4;7,1,0,2
e_e001117,e001117,4,1;2;7;11;12,1,1,2
e_e001118,e001118,4,6;7;9,7,1,2
e_e001122,e001122,5,1;3;4;7;12,1,0,2
e_e001124,e001124,4,1;7;12,1,0,1
e_e001125,e001125,5,1;4;11;12,0,0,2
e_e001126,e001126,3,1;2;7;12,7,0,2
e_e001127,e001127,5,1;4;10,7,0,2
e_e001130,e001130,4,1;2,7,1,2
e_e001131,e001131,4,1;2;4;6;7,1,0,1
e_e001132,e001132,5,1;2;7;9,1,1,2
e_e001133,e001133,4,1;2;7;12,0,1,2
e_e001134,e001134,5,1;3;7,6,0,2
e_e001137,e001137,4,1;12,1,0,1
e_e001139,e001139,5,1;2;10;11,7,0,2
e_e001140,e001140,3,1;7;9;10;12,5,0,2
e_e001142,e001142,3,1;3;4;6;7;12,1,1,1
e_e001146,e001146,4,2;3;7,5,0,2
e_e001147,e001147,4,1;4;6;7,1,1,1
e_e001149,e001149,5,1;2;4;10;12,4,0,1
e_e001150,e001150,4,2;6;9;12,4,1,2
e_e001156,e001156,4,1;3;4,1,0,1
e_e001159,e001159,4,1;4;6,0,1,2
e_e001161,e001161,4,1;4,1,0,2
e_e001164,e001164,4,1;4,1,0,1
e_e001166,e001166,5,1;3;4;6;7;10,7,1,2
e_e001171,e001171,4,1;7;9,1,0,1
e_e001172,e001172,5,1;6,5,0,2
e_e001173,e001173,5,1;2;3;12,0,1,2
e_e001174,e001174,5,1;3;4;6;7;11,1,0,1
e_e001176,e001176,3,1;2;7,4,0,2
e_e001178,e001178,5,1;3;6,1,0,1
e_e001180,e001180,5,1;2;12,0,1,2
e_e001182,e001182,4,2;6;7;11,7,1,2
e_e001183,e001183,4,1;2;3;10;12,7,0,2
e_e001188,e001188,5,2;7;12,4,1,2
e_e001190,e001190,4,1;4;7;12,0,0,2
e_e001194,e001194,4,1;3;4;12,7,1,2
e_e001200,e001200,4,1;2;7,1,0,2
e_e001201,e001201,5,1;9,1,1,2
e_e001203,e001203,4,1;4;9,5,0,2
e_e001207,e001207,4,1;3;4;7;10,5,1,1
e_e001209,e001209,3,1;2;7;9,1,0,2
e_e001211,e001211,5,2;6;10,5,1,2
e_e001212,e001212,5,1;4;7;10,4,0,2
e_e001215,e001215,4,1;7;12,7,1,2
e_e001218,e001218,4,2;6;11,7,0,2
e_e001220,e001220,5,1;2;7;9,5,1,1
e_e001230,e001230,4,2;9;12,4,0,2
e_e001233,e001233,4,1;3;4;12,6,1,2
e_e001235,e001235,4,2;4;6;9,5,0,2
e_e001238,e001238,4,1;4;7;9,4,1,2
e_e001239,e001239,5,1;2;6;9;12,5,1,1
e_e001240,e001240,4,1;3;4;7;11;12,5,1,2
e_e001241,e001241,4,1;2;7;9,4,0,1
e_e001243,e001243,5,1;2;3;7,7,0,2
e_e001244,e001244,4,1;4;6;7,0,0,2
e_e001246,e001246,5,1;4;11;12,1,0,2
e_e001247,e001247,5,1;3;4;6;7;9,5,1,1
e_e001249,e001249,3,1;4;7,4,0,1
e_e001251,e001251,5,1;3;6;7,7,0,1
e_e001252,e001252,5,2;4;9;10;12,4,1,2
e_e001253,e001253,4,1;3;4;7,1,0,1
e_e001254,e001254,5,2;3;4;7;9,5,0,2
e_e001257,e001257,4,1;11;12,0,1,2
e_e001261,e001261,4,2;7,4,0,2
e_e001262,e001262,5,1;4;6,1,0,1
e_e001264,e001264,4,1;4;9;12,1,0,2
e_e001265,e001265,4,1;2;3;6;12,7,1,2
e_e001267,e001267,4,3;4;12,1,1,2
e_e001268,e001268,4,1;2;3;4;6;7;9;10;11;12,1,1,1
e_e001271,e001271,5,2;3;6;7;10,7,1,2
e_e001272,e001272,4,1;4,4,0,1
e_e001273,e001273,5,1;4;6;7,0,0,1
e_e001276,e001276,4,1;2;9;11,1,0,1
e_e001279,e001279,3,1;2;4;9,5,1,1
e_e001280,e001280,5,1;3;11,1,1,1
e_e001281,e001281,5,1;2;7;9,0,0,2
e_e001283,e001283,4,2;3;4;6;12,1,0,2
e_e001287,e001287,5,3;12,7,1,2
e_e001288,e001288,5,1;6;12,2,0,2
e_e001291,e001291,4,3;6;10,7,0,2
e_e001292,e001292,5,1;2;9,0,0,1
e_e001295,e001295,4,1;3;6,1,1,1
e_e001296,e001296,3,1;6;7,7,1,2
e_e001297,e001297,5,2;6;7;9;10;12,1,0,1
e_e001301,e001301,5,1;3;7;12,1,1,2
e_e001308,e001308,3,1;11;12,7,1,2
e_e001310,e001310,4,1;4;6,5,0,2
e_e001312,e001312,5,2;4;7,7,1,2
e_e001314,e001314,5,1;2;6;9,4,1,2
e_e001315,e001315,4,1;2;4;7;9;10;12,7,1,2
e_e001316,e001316,4,2;3;4;7;11;12,2,1,2
e_e001321,e001321,5,1;4;6,5,1,1
e_e001325,e001325,5,1;3;4;7,1,1,1
e_e001326,e001326,5,1;7,1,1,1
e_e001329,e001329,5,1;3;4;7,1,1,2
e_e001330,e001330,4,2;10;12,7,1,2
e_e001331,e001331,4,1;3;4;7;9;12,7,0,2
e_e001341,e001341,4,1;2;3;4;6;7;10;12,0,0,1
e_e001343,e001343,5,1;4;6;7;12,4,0,2
e_e001344,e001344,4,1;4;7;12,0,0,2
e_e001346,e001346,4,1;4;9;10;11,1,0,2
e_e001351,e001351,5,1;9,1,1,2
e_e001356,e001356,4,3;6;11,1,0,1
e_e001359,e001359,4,9;12,4,0,2
e_e001360,e001360,4,1;2;12,4,0,2
e_e001367,e001367,5,2;6;9;12,7,0,2
e_e001368,e001368,4,1;7;9,1,0,1
e_e001371,e001371,4,1;4;6,5,1,1
e_e001372,e001372,2,1;4;7,0,0,2
e_e001375,e001375,4,1;2;7;9,0,1,1
e_e001377,e001377,5,1;3;6;12,5,0,1
e_e001380,e001380,5,1;3;4;7;12,7,1,2
e_e001382,e001382,5,1;2;3,1,0,2
e_e001384,e001384,4,1;9;12,1,1,2
e_e001386,e001386,3,1;2;4;7;9,5,0,1
e_e001392,e001392,5,7;10;12,7,1,2
e_e001393,e001393,5,1;3;4,5,1,1
e_e001396,e001396,5,1;4;7,5,0,2
e_e001398,e001398,5,1;2;7;9,0,0,2
e_e001400,e001400,2,1;4;12,5,0,2
e_e001401,e001401,4,1;3;4,0,0,1
e_e001408,e001408,4,1;2;6;9;11;12,0,0,2
e_e001409,e001409,3,1;2;7;9,4,0,2
e_e001411,e001411,3,1;4,4,1,1
e_e001412,e001412,4,1;4;7,0,0,2
e_e001413,e001413,5,1;3;9,5,1,1
e_e001414,e001414,4,1;2;3;4;9;10,4,0,1
e_e001415,e001415,4,2;7;9,6,1,2
e_e001416,e001416,4,2;7;9;12,1,1,2
e_e001421,e001421,4,1;3;6,5,1,1
e_e001422,e001422,4,1;2;4;6;11;12,7,1,2
e_e001423,e001423,4,3;4;7,5,0,2
e_e001424,e001424,5,1,7,0,2
e_e001426,e001426,4,1;2;3;4;6;11;12,5,1,2
e_e001427,e001427,4,1;3;4;10;12,7,1,2
e_e001428,e001428,5,1;3;4;11,1,1,2
e_e001429,e001429,4,3;10;12,7,1,2
e_e001430,e001430,5,1;3;4;6;10;11,0,1,1
e_e001431,e001431,4,2;4;6,6,1,2
e_e001432,e001432,3,1;4;10,1,0,2
e_e001434,e001434,4,1;2;3;7;10,7,1,2
e_e001436,e001436,4,2;3;4;12,7,0,2
e_e001438,e001438,5,1;4;7,5,1,1
e_e001440,e001440,3,1;2;3;10;11,1,1,1
e_e001443,e001443,4,1;2;3;4;11,1,0,1
e_e001448,e001448,4,1;3;7;9;11;12,1,1,2
e_e001449,e001449,4,1;2;7,7,1,2
e_e001452,e001452,5,1;4;7;9;12,1,0,2
e_e001458,e001458,5,1;4;7;9,7,1,1
e_e001459,e001459,4,1;2;6;7,1,0,1
