course_id,user_id,start_date,end_date,means_tp,travel_type,person,satis
e_e000316,e000316,2023-05-27,2023-05-30,대중교통 등,도시관광/건축물;문화시설;온천/헬스케어;자연관광,2인 여행(가족 외),4
e_e000317,e000317,2023-05-27,2023-05-30,대중교통 등,도시관광/건축물;레포츠/야외활동;쇼핑;자연관광,나홀로 여행,4
e_e000319,e000319,2023-05-31,2023-06-03,대중교통 등,도시관광/건축물;레포츠/야외활동;문화시설;쇼핑;자연관광,나홀로 여행,4
e_e000322,e000322,2023-06-05,2023-06-08,대중교통 등,도시관광/건축물;레포츠/야외활동;문화시설;쇼핑;역사/문화유산;자연관광,나홀로 여행,4
e_e000323,e000323,2023-05-27,2023-05-29,대중교통 등,도시관광/건축물;쇼핑;역사/문화유산;테마파크/공원,2인 여행(가족 외),5
e_e000329,e000329,2023-05-26,2023-05-29,대중교통 등,도시관광/건축물;쇼핑;축제/공연/이벤트,2인 여행(가족 외),4
e_e000331,e000331,2023-05-28,2023-05-31,대중교통 등,도시관광/건축물;쇼핑;테마파크/공원,나홀로 여행,4
e_e000332,e000332,2023-05-19,2023-05-21,자가용,레포츠/야외활동;쇼핑;자연관광;축제/공연/이벤트;테마파크/공원,2인 여행(가족 외),3
e_e000334,e000334,2023-05-28,2023-05-30,자가용,도시관광/건축물;문화시설;쇼핑;축제/공연/이벤트,2인 여행(가족 외),5
e_e000335,e000335,2023-06-17,2023-06-18,자가용,도시관광/건축물;문화시설;쇼핑,2인 여행(가족 외),5
e_e000336,e000336,2023-05-27,2023-05-30,자가용,쇼핑;역사/문화유산;온천/헬스케어;체험관광;테마파크/공원,자녀 동반 여행,5
e_e000338,e000338,2023-05-19,2023-05-20,대중교통 등,도시관광/건축물;문화시설;온천/헬스케어;자연관광,나홀로 여행,5
e_e000340,e000340,2023-05-27,2023-05-30,자가용,레포츠/야외활동;문화시설;온천/헬스케어;자연관광;체험관광;축제/공연/이벤트;테마파크/공원,자녀 동반 여행,4
e_e000342,e000342,2023-05-19,2023-05-22,대중교통 등,도시관광/건축물;쇼핑;온천/헬스케어;자연관광,3대 동반 여행(친척 포함),5
e_e000344,e000344,2023-05-19,2023-05-21,자가용,도시관광/건축물;문화시설;쇼핑;역사/문화유산;테마파크/공원,자녀 동반 여행,4
e_e000345,e000345,2023-05-19,2023-05-21,대중교통 등,도시관광/건축물;문화시설;축제/공연/이벤트,3인 이상 여행(가족 외),4
e_e000346,e000346,2023-05-27,2023-05-28,자가용,도시관광/건축물;레포츠/야외활동;온천/헬스케어;자연관광,3인 이상 여행(가족 외),4
e_e000347,e000347,2023-05-26,2023-05-30,대중교통 등,도시관광/건축물;레포츠/야외활동;문화시설;쇼핑;테마파크/공원,나홀로 여행,4
e_e000350,e000350,2023-05-18,2023-05-19,자가용,도시관광/건축물;쇼핑;테마파크/공원,자녀 동반 여행,3
e_e000352,e000352,2023-05-21,2023-05-23,대중교통 등,도시관광/건축물;문화시설;온천/헬스케어,2인 여행(가족 외),3
e_e000353,e000353,2023-05-23,2023-05-24,자가용,도시관광/건축물;문화시설;쇼핑;역사/문화유산;테마파크/공원,나홀로 여행,4
e_e000355,e000355,2023-05-21,2023-05-22,자가용,레포츠/야외활동;문화시설;쇼핑;체험관광;테마파크/공원,자녀 동반 여행,5
e_e000357,e000357,2023-05-15,2023-05-16,대중교통 등,문화시설;쇼핑,나홀로 여행,5
e_e000360,e000360,2023-05-29,2023-05-30,자가용,도시관광/건축물;온천/헬스케어;자연관광;축제/공연/이벤트;테마파크/공원,2인 가족 여행,4
e_e000362,e000362,2023-05-15,2023-05-17,자가용,도시관광/건축물;레포츠/야외활동;쇼핑;테마파크/공원,2인 가족 여행,4
e_e000364,e000364,2023-05-16,2023-05-19,대중교통 등,문화시설;쇼핑;역사/문화유산,나홀로 여행,4
e_e000365,e000365,2023-05-27,2023-05-30,대중교통 등,도시관광/건축물;레포츠/야외활동;자연관광;체험관광,3인 이상 여행(가족 외),3
e_e000366,e000366,2023-05-20,2023-05-22,자가용,레포츠/야외활동;문화시설;쇼핑;축제/공연/이벤트;테마파크/공원,자녀 동반 여행,4
e_e000369,e000369,2023-06-05,2023-06-07,자가용,문화시설;쇼핑;역사/문화유산;온천/헬스케어,나홀로 여행,4
e_e000371,e000371,2023-05-26,2023-05-29,자가용,도시관광/건축물;문화시설;쇼핑;온천/헬스케어;자연관광;체험관광;축제/공연/이벤트,나홀로 여행,5
e_e000373,e000373,2023-05-20,2023-05-21,자가용,도시관광/건축물;문화시설;쇼핑;온천/헬스케어;자연관광,3대 동반 여행(친척 포함),5
e_e000375,e000375,2023-06-03,2023-06-05,자가용,도시관광/건축물;레포츠/야외활동;문화시설;역사/문화유산;온천/헬스케어;체험관광;테마파크/공원,자녀 동반 여행,4
e_e000376,e000376,2023-05-29,2023-05-30,자가용,도시관광/건축물;역사/문화유산;자연관광,3인 이상 여행(가족 외),3
e_e000377,e000377,2023-05-21,2023-05-22,자가용,도시관광/건축물;문화시설;쇼핑;온천/헬스케어;자연관광;체험관광,자녀 동반 여행,4
e_e000379,e000379,2023-05-28,2023-05-29,자가용,문화시설;쇼핑;체험관광,자녀 동반 여행,4
e_e000381,e000381,2023-06-02,2023-06-05,자가용,도시관광/건축물;레포츠/야외활동;자연관광,자녀 동반 여행,3
e_e000384,e000384,2023-06-04,2023-06-07,자가용,도시관광/건축물;레포츠/야외활동;역사/문화유산;온천/헬스케어;자연관광,2인 가족 여행,5
e_e000385,e000385,2023-05-21,2023-05-23,자가용,레포츠/야외활동;역사/문화유산;자연관광,2인 여행(가족 외),4
e_e000387,e000387,2023-06-02,2023-06-05,자가용,레포츠/야외활동;테마파크/공원,자녀 동반 여행,4
e_e000395,e000395,2023-05-20,2023-05-22,자가용,도시관광/건축물;쇼핑;온천/헬스케어;테마파크/공원,자녀 동반 여행,5
e_e000396,e000396,2023-05-20,2023-05-22,자가용,레포츠/야외활동;온천/헬스케어;테마파크/공원,2인 가족 여행,4
e_e000397,e000397,2023-05-28,2023-05-30,자가용,도시관광/건축물;레포츠/야외활동;문화시설;온천/헬스케어;자연관광,3인 이상 여행(가족 외),4
e_e000400,e000400,2023-05-16,2023-05-17,자가용,도시관광/건축물;온천/헬스케어;자연관광,3인 이상 여행(가족 외),3
e_e000401,e000401,2023-05-27,2023-05-30,자가용,쇼핑;온천/헬스케어;자연관광,2인 가족 여행,4
e_e000403,e000403,2023-05-27,2023-05-29,대중교통 등,도시관광/건축물;문화시설;온천/헬스케어,3인 이상 여행(가족 외),5
e_e000406,e000406,2023-05-20,2023-05-22,자가용,레포츠/야외활동;역사/문화유산;자연관광;체험관광;축제/공연/이벤트;테마파크/공원,3대 동반 여행(친척 포함),4
e_e000407,e000407,2023-05-27,2023-05-28,자가용,도시관광/건축물;온천/헬스케어;자연관광;테마파크/공원,3인 이상 여행(가족 외),4
e_e000409,e000409,2023-05-23,2023-05-24,자가용,도시관광/건축물;쇼핑;온천/헬스케어;테마파크/공원,자녀 동반 여행,4
e_e000412,e000412,2023-06-03,2023-06-05,대중교통 등,도시관광/건축물;문화시설;쇼핑;역사/문화유산,나홀로 여행,4
e_e000418,e000418,2023-06-03,2023-06-05,자가용,도시관광/건축물;레포츠/야외활동;온천/헬스케어,자녀 동반 여행,4
e_e000422,e000422,2023-06-04,2023-06-07,자가용,도시관광/건축물;문화시설;쇼핑;역사/문화유산;온천/헬스케어;체험관광,나홀로 여행,5
e_e000425,e000425,2023-05-20,2023-05-21,자가용,도시관광/건축물;레포츠/야외활동;축제/공연/이벤트,자녀 동반 여행,4
e_e000429,e000429,2023-06-03,2023-06-04,자가용,도시관광/건축물;문화시설;쇼핑,자녀 동반 여행,5
e_e000430,e000430,2023-05-22,2023-05-26,자가용,도시관광/건축물;레포츠/야외활동;쇼핑;온천/헬스케어;자연관광;테마파크/공원,나홀로 여행,4
e_e000432,e000432,2023-05-21,2023-05-23,대중교통 등,도시관광/건축물;레포츠/야외활동;쇼핑;온천/헬스케어,2인 가족 여행,4
e_e000433,e000433,2023-05-15,2023-05-16,자가용,도시관광/건축물;레포츠/야외활동;테마파크/공원,2인 여행(가족 외),5
e_e000435,e000435,2023-05-27,2023-05-28,자가용,문화시설;자연관광;체험관광;테마파크/공원,3인 이상 여행(가족 외),5
e_e000437,e000437,2023-06-04,2023-06-05,자가용,도시관광/건축물;온천/헬스케어;자연관광,2인 여행(가족 외),4
e_e000438,e000438,2023-05-27,2023-05-30,자가용,도시관광/건축물;문화시설;쇼핑;역사/문화유산,자녀 동반 여행,5
e_e000443,e000443,2023-06-03,2023-06-04,대중교통 등,도시관광/건축물;레포츠/야외활동;자연관광,3인 이상 여행(가족 외),5
e_e000445,e000445,2023-05-19,2023-05-21,자가용,도시관광/건축물;레포츠/야외활동;온천/헬스케어;자연관광,2인 가족 여행,4
e_e000447,e000447,2023-05-20,2023-05-21,자가용,도시관광/건축물;레포츠/야외활동;문화시설;쇼핑;역사/문화유산;온천/헬스케어;자연관광;체험관광;축제/공연/이벤트;테마파크/공원,자녀 동반 여행,3
e_e000448,e000448,2023-05-27,2023-05-29,자가용,도시관광/건축물;레포츠/야외활동;문화시설;역사/문화유산,자녀 동반 여행,4
e_e000450,e000450,2023-05-20,2023-05-21,대중교통 등,도시관광/건축물;쇼핑;테마파크/공원,나홀로 여행,4
e_e000451,e000451,2023-05-28,2023-05-31,자가용,레포츠/야외활동;쇼핑;역사/문화유산;온천/헬스케어;축제/공연/이벤트;테마파크/공원,3인 이상 여행(가족 외),3
e_e000453,e000453,2023-06-03,2023-06-07,대중교통 등,도시관광/건축물;문화시설;역사/문화유산;체험관광;테마파크/공원,자녀 동반 여행,4
e_e000454,e000454,2023-05-20,2023-05-21,자가용,도시관광/건축물;레포츠/야외활동;역사/문화유산;온천/헬스케어;자연관광;체험관광,자녀 동반 여행,5
e_e000460,e000460,2023-05-15,2023-05-17,대중교통 등,도시관광/건축물;레포츠/야외활동;문화시설;쇼핑;온천/헬스케어;축제/공연/이벤트,3인 이상 여행(가족 외),5
e_e000463,e000463,2023-06-04,2023-06-07,자가용,도시관광/건축물;레포츠/야외활동;온천/헬스케어;자연관광,2인 여행(가족 외),4
e_e000466,e000466,2023-05-28,2023-05-30,자가용,레포츠/야외활동;온천/헬스케어;체험관광;테마파크/공원,자녀 동반 여행,4
e_e000469,e000469,2023-05-20,2023-05-22,자가용,도시관광/건축물;레포츠/야외활동;쇼핑;온천/헬스케어;자연관광;체험관광,3인 이상 여행(가족 외),4
e_e000472,e000472,2023-06-02,2023-06-06,대중교통 등,도시관광/건축물;쇼핑;온천/헬스케어,나홀로 여행,3
e_e000473,e000473,2023-05-20,2023-05-22,대중교통 등,도시관광/건축물;레포츠/야외활동;쇼핑,자녀 동반 여행,5
e_e000474,e000474,2023-05-26,2023-05-29,자가용,레포츠/야외활동;쇼핑;온천/헬스케어;축제/공연/이벤트,나홀로 여행,5
e_e000477,e000477,2023-05-27,2023-05-30,자가용,도시관광/건축물;레포츠/야외활동;쇼핑;온천/헬스케어;자연관광;축제/공연/이벤트,2인 여행(가족 외),4
e_e000479,e000479,2023-05-26,2023-05-28,자가용,도시관광/건축물;체험관광,3인 이상 여행(가족 외),5
e_e000480,e000480,2023-05-19,2023-05-20,자가용,도시관광/건축물;레포츠/야외활동,3인 이상 여행(가족 외),4
e_e000481,e000481,2023-05-28,2023-05-29,대중교통 등,도시관광/건축물;문화시설;쇼핑;테마파크/공원,나홀로 여행,4
e_e000482,e000482,2023-05-19,2023-05-22,대중교통 등,도시관광/건축물;쇼핑;온천/헬스케어,2인 여행(가족 외),4
e_e000483,e000483,2023-05-27,2023-05-30,자가용,도시관광/건축물;레포츠/야외활동;온천/헬스케어;테마파크/공원,3대 동반 여행(친척 포함),4
e_e000486,e000486,2023-05-15,2023-05-16,대중교통 등,도시관광/건축물;레포츠/야외활동;문화시설;쇼핑;테마파크/공원,나홀로 여행,5
e_e000490,e000490,2023-06-02,2023-06-04,대중교통 등,도시관광/건축물;레포츠/야외활동;문화시설,나홀로 여행,4
e_e000491,e000491,2023-05-27,2023-05-29,자가용,도시관광/건축물;레포츠/야외활동;온천/헬스케어;자연관광,3인 이상 여행(가족 외),4
e_e000492,e000492,2023-05-29,2023-05-30,자가용,도시관광/건축물;쇼핑;온천/헬스케어,3인 이상 여행(가족 외),4
e_e000496,e000496,2023-05-16,2023-05-18,자가용,도시관광/건축물;쇼핑;온천/헬스케어;테마파크/공원,2인 여행(가족 외),5
e_e000500,e000500,2023-06-03,2023-06-06,자가용,도시관광/건축물;레포츠/야외활동;온천/헬스케어;자연관광,자녀 동반 여행,4
e_e000504,e000504,2023-05-20,2023-05-21,대중교통 등,레포츠/야외활동;온천/헬스케어,나홀로 여행,4
e_e000505,e000505,2023-05-18,2023-05-19,자가용,도시관광/건축물;역사/문화유산,나홀로 여행,3
e_e000506,e000506,2023-06-02,2023-06-04,자가용,도시관광/건축물;레포츠/야외활동;역사/문화유산,나홀로 여행,4
e_e000507,e000507,2023-05-20,2023-05-21,자가용,도시관광/건축물;쇼핑;역사/문화유산,3인 이상 여행(가족 외),4
e_e000509,e000509,2023-05-19,2023-05-22,대중교통 등,문화시설;쇼핑;역사/문화유산;온천/헬스케어;축제/공연/이벤트,2인 여행(가족 외),4
e_e000510,e000510,2023-05-29,2023-05-30,대중교통 등,도시관광/건축물;역사/문화유산;온천/헬스케어,2인 여행(가족 외),5
e_e000514,e000514,2023-06-03,2023-06-04,자가용,문화시설;체험관광;테마파크/공원,3대 동반 여행(친척 포함),5
e_e000515,e000515,2023-06-03,2023-06-07,자가용,도시관광/건축물;문화시설;쇼핑;역사/문화유산;자연관광;체험관광,3인 이상 여행(가족 외),3
e_e000521,e000521,2023-05-23,2023-05-24,자가용,도시관광/건축물;쇼핑;자연관광;테마파크/공원,나홀로 여행,5
e_e000523,e000523,2023-06-10,2023-06-11,자가용,도시관광/건축물;문화시설;체험관광;축제/공연/이벤트;테마파크/공원,자녀 동반 여행,3
e_e000524,e000524,2023-05-16,2023-05-17,자가용,도시관광/건축물;체험관광;테마파크/공원,2인 여행(가족 외),5
e_e000525,e000525,2023-05-25,2023-05-26,자가용,도시관광/건축물;온천/헬스케어;자연관광,3인 이상 여행(가족 외),4
e_e000526,e000526,2023-05-16,2023-05-18,대중교통 등,도시관광/건축물;레포츠/야외활동;문화시설;쇼핑,나홀로 여행,4
e_e000531,e000531,2023-05-27,2023-05-29,자가용,도시관광/건축물;자연관광;테마파크/공원,2인 여행(가족 외),3
e_e000533,e000533,2023-06-03,2023-06-04,자가용,도시관광/건축물;레포츠/야외활동;문화시설;온천/헬스케어,3인 이상 여행(가족 외),4
e_e000535,e000535,2023-05-27,2023-05-30,대중교통 등,도시관광/건축물;쇼핑;자연관광,2인 여행(가족 외),5
e_e000536,e000536,2023-05-19,2023-05-22,자가용,도시관광/건축물;레포츠/야외활동;쇼핑;온천/헬스케어;체험관광;축제/공연/이벤트;테마파크/공원,나홀로 여행,5
e_e000540,e000540,2023-06-01,2023-06-03,자가용,도시관광/건축물;온천/헬스케어;테마파크/공원,3인 이상 여행(가족 외),4
e_e000541,e000541,2023-05-20,2023-05-21,자가용,도시관광/건축물;문화시설;역사/문화유산;체험관광,3인 이상 여행(가족 외),4
e_e000544,e000544,2023-05-21,2023-05-22,대중교통 등,도시관광/건축물;쇼핑;체험관광;축제/공연/이벤트,2인 여행(가족 외),4
e_e000546,e000546,2023-05-26,2023-05-30,대중교통 등,도시관광/건축물;문화시설;쇼핑;역사/문화유산;온천/헬스케어;자연관광;테마파크/공원,나홀로 여행,5
e_e000547,e000547,2023-06-09,2023-06-11,자가용,도시관광/건축물;레포츠/야외활동;자연관광;체험관광;테마파크/공원,자녀 동반 여행,5
e_e000548,e000548,2023-05-26,2023-05-28,자가용,레포츠/야외활동;체험관광,자녀 동반 여행,4
e_e000550,e000550,2023-05-27,2023-05-28,대중교통 등,도시관광/건축물;레포츠/야외활동;쇼핑;역사/문화유산;온천/헬스케어,나홀로 여행,5
e_e000552,e000552,2023-05-25,2023-05-26,자가용,도시관광/건축물;레포츠/야외활동;문화시설;역사/문화유산,2인 가족 여행,4
e_e000556,e000556,2023-06-06,2023-06-07,자가용,도시관광/건축물;문화시설;온천/헬스케어;자연관광,부모 동반 여행,4
e_e000557,e000557,2023-05-29,2023-05-30,자가용,도시관광/건축물;레포츠/야외활동;문화시설;역사/문화유산;테마파크/공원,3인 이상 여행(가족 외),4
e_e000559,e000559,2023-05-27,2023-05-29,대중교통 등,도시관광/건축물;레포츠/야외활동;온천/헬스케어;자연관광,3인 이상 여행(가족 외),4
e_e000560,e000560,2023-05-20,2023-05-22,자가용,도시관광/건축물;레포츠/야외활동;축제/공연/이벤트,2인 가족 여행,5
e_e000561,e000561,2023-05-20,2023-05-23,자가용,도시관광/건축물;문화시설;쇼핑;역사/문화유산;온천/헬스케어,나홀로 여행,4
e_e000563,e000563,2023-05-28,2023-05-30,대중교통 등,도시관광/건축물;쇼핑,2인 가족 여행,4
e_e000564,e000564,2023-05-20,2023-05-21,자가용,레포츠/야외활동;쇼핑;온천/헬스케어;테마파크/공원,나홀로 여행,5
e_e000566,e000566,2023-05-20,2023-05-21,대중교통 등,도시관광/건축물;문화시설;쇼핑,나홀로 여행,4
e_e000567,e000567,2023-05-24,2023-05-26,자가용,도시관광/건축물;레포츠/야외활동;문화시설;역사/문화유산;체험관광,자녀 동반 여행,5
e_e000569,e000569,2023-06-04,2023-06-05,자가용,도시관광/건축물;체험관광;테마파크/공원,자녀 동반 여행,3
e_e000571,e000571,2023-05-24,2023-05-27,대중교통 등,도시관광/건축물;온천/헬스케어;자연관광,나홀로 여행,4
e_e000574,e000574,2023-06-02,2023-06-04,자가용,역사/문화유산;온천/헬스케어;자연관광,2인 여행(가족 외),5
e_e000579,e000579,2023-05-20,2023-05-21,자가용,도시관광/건축물;레포츠/야외활동;역사/문화유산;온천/헬스케어;자연관광,2인 여행(가족 외),5
e_e000580,e000580,2023-06-10,2023-06-11,대중교통 등,도시관광/건축물;문화시설;쇼핑;역사/문화유산;체험관광,나홀로 여행,4
e_e000584,e000584,2023-05-26,2023-05-27,대중교통 등,도시관광/건축물;쇼핑;온천/헬스케어,2인 가족 여행,3
e_e000588,e000588,2023-05-28,2023-05-30,자가용,도시관광/건축물;레포츠/야외활동;문화시설;테마파크/공원,2인 여행(가족 외),4
e_e000590,e000590,2023-05-23,2023-05-25,자가용,도시관광/건축물;레포츠/야외활동;쇼핑;역사/문화유산;온천/헬스케어;테마파크/공원,2인 가족 여행,5
e_e000591,e000591,2023-05-22,2023-05-23,자가용,도시관광/건축물;문화시설;쇼핑,2인 가족 여행,5
e_e000594,e000594,2023-05-28,2023-05-30,자가용,레포츠/야외활동;쇼핑;축제/공연/이벤트,2인 여행(가족 외),5
e_e000595,e000595,2023-05-27,2023-05-29,대중교통 등,도시관광/건축물;문화시설;쇼핑;온천/헬스케어;축제/공연/이벤트;테마파크/공원,2인 여행(가족 외),4
e_e000597,e000597,2023-05-29,2023-05-30,자가용,도시관광/건축물;레포츠/야외활동;문화시설;자연관광;체험관광;테마파크/공원,자녀 동반 여행,5
e_e000599,e000599,2023-06-04,2023-06-06,자가용,도시관광/건축물;문화시설;역사/문화유산;온천/헬스케어;테마파크/공원,자녀 동반 여행,4
e_e000601,e000601,2023-05-26,2023-05-30,자가용,도시관광/건축물;레포츠/야외활동;축제/공연/이벤트,나홀로 여행,5
e_e000602,e000602,2023-05-17,2023-05-20,대중교통 등,도시관광/건축물;레포츠/야외활동;문화시설;쇼핑;자연관광;테마파크/공원,나홀로 여행,5
e_e000603,e000603,2023-05-27,2023-05-30,대중교통 등,쇼핑;역사/문화유산;테마파크/공원,자녀 동반 여행,5
e_e000604,e000604,2023-05-17,2023-05-20,대중교통 등,레포츠/야외활동;문화시설;쇼핑;체험관광;테마파크/공원,나홀로 여행,5
e_e000605,e000605,2023-06-03,2023-06-07,대중교통 등,도시관광/건축물;문화시설;쇼핑;자연관광;테마파크/공원,나홀로 여행,5
e_e000607,e000607,2023-05-20,2023-05-22,자가용,도시관광/건축물;문화시설;온천/헬스케어;테마파크/공원,부모 동반 여행,3
e_e000608,e000608,2023-05-22,2023-05-24,대중교통 등,도시관광/건축물;쇼핑;역사/문화유산;체험관광;축제/공연/이벤트,나홀로 여행,4
e_e000609,e000609,2023-05-31,2023-06-01,자가용,도시관광/건축물;쇼핑;테마파크/공원,자녀 동반 여행,5
e_e000612,e000612,2023-05-27,2023-05-30,자가용,도시관광/건축물;레포츠/야외활동;온천/헬스케어;자연관광;테마파크/공원,자녀 동반 여행,4
e_e000615,e000615,2023-06-10,2023-06-12,대중교통 등,도시관광/건축물;문화시설;축제/공연/이벤트,2인 여행(가족 외),5
e_e000618,e000618,2023-05-27,2023-05-30,자가용,도시관광/건축물;문화시설;역사/문화유산;온천/헬스케어,2인 여행(가족 외),4
e_e000620,e000620,2023-05-20,2023-05-21,자가용,도시관광/건축물;쇼핑;온천/헬스케어;자연관광,부모 동반 여행,4
e_e000621,e000621,2023-05-27,2023-05-30,자가용,쇼핑;역사/문화유산;온천/헬스케어,나홀로 여행,4
e_e000622,e000622,2023-05-22,2023-05-23,자가용,도시관광/건축물;레포츠/야외활동;온천/헬스케어;자연관광,2인 여행(가족 외),4
e_e000623,e000623,2023-05-19,2023-05-22,자가용,레포츠/야외활동;온천/헬스케어;체험관광;테마파크/공원,3인 이상 여행(가족 외),3
e_e000625,e000625,2023-05-21,2023-05-22,자가용,도시관광/건축물;쇼핑;역사/문화유산,부모 동반 여행,4
e_e000627,e000627,2023-05-19,2023-05-21,대중교통 등,도시관광/건축물;문화시설;쇼핑;온천/헬스케어;축제/공연/이벤트,나홀로 여행,5
e_e000628,e000628,2023-05-26,2023-05-29,자가용,도시관광/건축물;레포츠/야외활동;쇼핑;온천/헬스케어;자연관광;축제/공연/이벤트;테마파크/공원,3인 이상 여행(가족 외),5
e_e000632,e000632,2023-06-03,2023-06-04,대중교통 등,도시관광/건축물;쇼핑;역사/문화유산,나홀로 여행,4
e_e000637,e000637,2023-05-19,2023-05-20,대중교통 등,도시관광/건축물;쇼핑;테마파크/공원,2인 여행(가족 외),3
e_e000639,e000639,2023-06-05,2023-06-06,대중교통 등,레포츠/야외활동;온천/헬스케어,나홀로 여행,4
e_e000640,e000640,2023-05-26,2023-05-27,자가용,레포츠/야외활동;역사/문화유산;축제/공연/이벤트,3대 동반 여행(친척 포함),3
e_e000641,e000641,2023-05-20,2023-05-21,자가용,도시관광/건축물;체험관광;축제/공연/이벤트;테마파크/공원,자녀 동반 여행,4
e_e000644,e000644,2023-05-20,2023-05-22,자가용,레포츠/야외활동;쇼핑;체험관광;축제/공연/이벤트,자녀 동반 여행,4
e_e000645,e000645,2023-05-20,2023-05-21,자가용,도시관광/건축물;레포츠/야외활동;자연관광,2인 여행(가족 외),5
